,dist_bars,type,method
B,0.732112,twins,opf
C,0.523949,twins,opf
E,0.68267,twins,opf
G,0.724765,twins,opf
I,0.546875,twins,opf
K,0.620262,twins,opf
M,0.746435,family,opf
N,0.753715,family,opf
Q,0.732112,family,opf
R,0.746435,family,opf
S,0.732112,family,opf
U,0.753715,family,opf
V,0.615469,family,opf
W,0.645343,family,opf
Z,0.523949,family,opf
A1,0.615469,family,opf
B1,0.523949,family,opf
D1,0.645343,family,opf
E1,0.695659,family,opf
F1,0.597242,family,opf
I1,0.68267,family,opf
J1,0.695659,family,opf
K1,0.68267,family,opf
M1,0.597242,family,opf
N1,0.566284,family,opf
O1,0.671588,family,opf
R1,0.724765,family,opf
S1,0.566284,family,opf
T1,0.724765,family,opf
V1,0.671588,family,opf
W1,0.58658,family,opf
X1,0.513115,family,opf
A2,0.546875,family,opf
B2,0.58658,family,opf
C2,0.546875,family,opf
E2,0.513115,family,opf
F2,0.401542,family,opf
G2,0.608702,family,opf
J2,0.620262,family,opf
K2,0.401542,family,opf
L2,0.620262,family,opf
N2,0.608702,family,opf
O2,0.669416,all,opf
P2,0.544888,all,opf
Q2,0.522085,all,opf
R2,0.526131,all,opf
S2,0.633146,all,opf
T2,0.485244,all,opf
U2,0.585451,all,opf
V2,0.522049,all,opf
W2,0.554236,all,opf
X2,0.484517,all,opf
Y2,0.611015,all,opf
Z2,0.453982,all,opf
A3,0.603629,all,opf
B3,0.706723,all,opf
C3,0.685534,all,opf
D3,0.777201,all,opf
E3,0.825143,all,opf
F3,0.773758,all,opf
G3,0.815982,all,opf
H3,0.700758,all,opf
I3,0.785553,all,opf
J3,0.757777,all,opf
K3,0.70448,all,opf
L3,0.748197,all,opf
M3,0.779015,all,opf
N3,0.803488,all,opf
O3,0.769995,all,opf
P3,0.705738,all,opf
Q3,0.700638,all,opf
R3,0.789816,all,opf
S3,0.769703,all,opf
T3,0.8101,all,opf
U3,0.760958,all,opf
V3,0.803498,all,opf
W3,0.702675,all,opf
X3,0.777852,all,opf
Y3,0.746185,all,opf
Z3,0.670646,all,opf
A4,0.734118,all,opf
B4,0.766536,all,opf
C4,0.797888,all,opf
D4,0.757165,all,opf
E4,0.662643,all,opf
F4,0.627664,all,opf
G4,0.720352,all,opf
H4,0.710484,all,opf
I4,0.752166,all,opf
J4,0.716151,all,opf
K4,0.750195,all,opf
L4,0.733917,all,opf
M4,0.724435,all,opf
N4,0.695664,all,opf
O4,0.634134,all,opf
P4,0.693523,all,opf
Q4,0.720464,all,opf
R4,0.73648,all,opf
S4,0.704547,all,opf
T4,0.789816,all,opf
U4,0.720352,all,opf
V4,0.685534,all,opf
W4,0.685452,all,opf
X4,0.72225,all,opf
Y4,0.619725,all,opf
Z4,0.698395,all,opf
A5,0.52634,all,opf
B5,0.628502,all,opf
C5,0.540363,all,opf
D5,0.525977,all,opf
E5,0.57127,all,opf
F5,0.639376,all,opf
G5,0.613052,all,opf
H5,0.614478,all,opf
I5,0.705738,all,opf
J5,0.662643,all,opf
K5,0.603629,all,opf
L5,0.738729,all,opf
M5,0.797773,all,opf
N5,0.715404,all,opf
O5,0.794812,all,opf
P5,0.565696,all,opf
Q5,0.733381,all,opf
R5,0.675825,all,opf
S5,0.59454,all,opf
T5,0.657196,all,opf
U5,0.735829,all,opf
V5,0.745179,all,opf
W5,0.715399,all,opf
X5,0.700638,all,opf
Y5,0.627664,all,opf
Z5,0.706723,all,opf
A6,0.60028,all,opf
B6,0.6578,all,opf
C6,0.596542,all,opf
D6,0.614937,all,opf
E6,0.553593,all,opf
F6,0.533013,all,opf
G6,0.558845,all,opf
H6,0.663801,all,opf
I6,0.525473,all,opf
J6,0.773758,all,opf
K6,0.760958,all,opf
L6,0.522085,all,opf
M6,0.619725,all,opf
N6,0.715404,all,opf
O6,0.716151,all,opf
P6,0.74289,all,opf
Q6,0.703347,all,opf
R6,0.708187,all,opf
S6,0.676122,all,opf
T6,0.614422,all,opf
U6,0.679676,all,opf
V6,0.708019,all,opf
W6,0.728688,all,opf
X6,0.682433,all,opf
Y6,0.777201,all,opf
Z6,0.769703,all,opf
A7,0.669416,all,opf
B7,0.685452,all,opf
C7,0.738729,all,opf
D7,0.710484,all,opf
E7,0.631358,all,opf
F7,0.76077,all,opf
G7,0.624485,all,opf
H7,0.676887,all,opf
I7,0.622687,all,opf
J7,0.640728,all,opf
K7,0.615196,all,opf
L7,0.691611,all,opf
M7,0.599575,all,opf
N7,0.825143,all,opf
O7,0.8101,all,opf
P7,0.544888,all,opf
Q7,0.72225,all,opf
R7,0.797773,all,opf
S7,0.752166,all,opf
T7,0.708187,all,opf
U7,0.624485,all,opf
V7,0.596542,all,opf
W7,0.598913,all,opf
X7,0.560971,all,opf
Y7,0.616008,all,opf
Z7,0.514243,all,opf
A8,0.610079,all,opf
B8,0.492612,all,opf
C8,0.785553,all,opf
D8,0.777852,all,opf
E8,0.485244,all,opf
F8,0.628502,all,opf
G8,0.733381,all,opf
H8,0.724435,all,opf
I8,0.74289,all,opf
J8,0.631358,all,opf
K8,0.60028,all,opf
L8,0.6844,all,opf
M8,0.630962,all,opf
N8,0.634689,all,opf
O8,0.476437,all,opf
P8,0.672942,all,opf
Q8,0.505821,all,opf
R8,0.815982,all,opf
S8,0.803498,all,opf
T8,0.526131,all,opf
U8,0.698395,all,opf
V8,0.794812,all,opf
W8,0.750195,all,opf
X8,0.703347,all,opf
Y8,0.76077,all,opf
Z8,0.6578,all,opf
A9,0.63133,all,opf
B9,0.574412,all,opf
C9,0.616834,all,opf
D9,0.654941,all,opf
E9,0.712349,all,opf
F9,0.642108,all,opf
G9,0.700758,all,opf
H9,0.702675,all,opf
I9,0.633146,all,opf
J9,0.52634,all,opf
K9,0.565696,all,opf
L9,0.733917,all,opf
M9,0.679676,all,opf
N9,0.640728,all,opf
O9,0.533013,all,opf
P9,0.634689,all,opf
Q9,0.616834,all,opf
R9,0.616008,all,opf
S9,0.589126,all,opf
T9,0.654483,all,opf
U9,0.535126,all,opf
V9,0.748197,all,opf
W9,0.734118,all,opf
X9,0.554236,all,opf
Y9,0.57127,all,opf
Z9,0.657196,all,opf
A10,0.693523,all,opf
B10,0.676122,all,opf
C10,0.676887,all,opf
D10,0.614937,all,opf
E10,0.6844,all,opf
F10,0.63133,all,opf
G10,0.598913,all,opf
H10,0.619382,all,opf
I10,0.489146,all,opf
J10,0.586098,all,opf
K10,0.757777,all,opf
L10,0.746185,all,opf
M10,0.585451,all,opf
N10,0.540363,all,opf
O10,0.675825,all,opf
P10,0.695664,all,opf
Q10,0.614422,all,opf
R10,0.622687,all,opf
S10,0.553593,all,opf
T10,0.630962,all,opf
U10,0.574412,all,opf
V10,0.560971,all,opf
W10,0.571138,all,opf
X10,0.626065,all,opf
Y10,0.529002,all,opf
Z10,0.70448,all,opf
A11,0.670646,all,opf
B11,0.522049,all,opf
C11,0.525977,all,opf
D11,0.59454,all,opf
E11,0.634134,all,opf
F11,0.682433,all,opf
G11,0.599575,all,opf
H11,0.525473,all,opf
I11,0.505821,all,opf
J11,0.642108,all,opf
K11,0.492612,all,opf
L11,0.586098,all,opf
M11,0.529002,all,opf
N11,0.535126,all,opf
O11,0.769995,all,opf
P11,0.757165,all,opf
Q11,0.453982,all,opf
R11,0.614478,all,opf
S11,0.715399,all,opf
T11,0.704547,all,opf
U11,0.708019,all,opf
V11,0.615196,all,opf
W11,0.558845,all,opf
X11,0.476437,all,opf
Y11,0.654941,all,opf
Z11,0.514243,all,opf
A12,0.619382,all,opf
B12,0.571138,all,opf
C12,0.589126,all,opf
D12,0.779015,all,opf
E12,0.766536,all,opf
F12,0.484517,all,opf
G12,0.639376,all,opf
H12,0.735829,all,opf
I12,0.720464,all,opf
J12,0.728688,all,opf
K12,0.691611,all,opf
L12,0.663801,all,opf
M12,0.672942,all,opf
N12,0.712349,all,opf
O12,0.610079,all,opf
P12,0.489146,all,opf
Q12,0.626065,all,opf
R12,0.654483,all,opf
S12,0.803488,all,opf
T12,0.797888,all,opf
U12,0.611015,all,opf
