,Otu19;Clostridiales(o),Otu37;Clostridiales(o),Otu28;Firmicutes(p),Otu44;Clostridiales(o),Otu25;Clostridiales(o),Otu18;Clostridiales(o),Otu23;Lactobacillus(g),Otu12;Lactobacillus(g),Otu30;Clostridiales(o),Otu24;Clostridiales(o),Otu5;Porphyromonadaceae(f),Otu29;Oscillibacter(g),Otu26;Ruminococcaceae(f),Otu2;Bacteroides(g),Otu3;Alistipes(g),Otu35;Clostridiales(o),Otu7;Porphyromonadaceae(f),Otu8;Porphyromonadaceae(f),Otu1;Porphyromonadaceae(f),Otu22;Blautia(g),Otu4;Porphyromonadaceae(f),Otu14;Porphyromonadaceae(f),Otu16;Bacteroidetes(p),Otu21;Clostridiales(o),Otu6;Porphyromonadaceae(f),Otu9;Lactobacillus(g),Otu17;Clostridiales(o),Otu11;Bacteroidales(o),Otu15;Barnesiella(g),Otu13;Porphyromonadaceae(f),Otu10;Bacteroidales(o),Otu27;Bacteroidales(o),Otu20;Turicibacter(g)
Otu000001,0.529014527,-0.108851822,0.191889372,-0.127004766,-0.069342099,0.154718531,0.393789427,0.307633276,-0.209279486,-0.122026276,0.403280789,-0.202937262,-0.051901959,0.337594894,0.031564396,0.029812505,-0.126781746,-0.123789482,-0.069143533,-0.05838677,0.187346904,0.177138431,-0.257187558,-0.455250005,-0.408455648,0.328269214,-0.294614779,-0.486885305,-0.35933536,-0.500021191,-0.484249997,-0.432521441,-0.393760407
Otu000005,0.548482754,-0.118238909,0.190671085,-0.11812889,-0.074824438,0.162929425,0.401177768,0.330177831,-0.190213416,-0.086973023,0.377176064,-0.184862803,-0.03455504,0.313185797,0.051890076,0.022475906,-0.112543054,-0.115210537,-0.094448112,-0.061251558,0.196930868,0.173918507,-0.259482219,-0.467482185,-0.408507992,0.326569788,-0.279236284,-0.504759286,-0.387843148,-0.498798648,-0.509145453,-0.460600098,-0.404921224
Otu000008,0.583776406,-0.132276426,0.262034449,-0.092550893,-0.050950947,0.106274161,0.412037005,0.41515275,-0.289291763,-0.103114069,0.384095388,-0.192357686,-0.06593677,0.383808845,0.035169444,-0.041897554,-0.097320099,-0.116328173,-0.003105315,-0.140541817,0.322276471,0.338070011,-0.241506849,-0.525507486,-0.389913474,0.258058176,-0.291524928,-0.483420894,-0.317102153,-0.484022772,-0.480785401,-0.449139176,-0.410743004
Otu000009,0.5849316,-0.146736806,0.249268496,-0.11025041,-0.055934018,0.105499776,0.415261899,0.412318569,-0.283692962,-0.113131723,0.382863097,-0.207441805,-0.073442969,0.384723886,0.05036534,-0.035561297,-0.0910338,-0.111895697,-0.005048824,-0.130532723,0.320040334,0.333508845,-0.248457853,-0.537076426,-0.390218098,0.267777188,-0.296550898,-0.482373259,-0.316404815,-0.48378761,-0.478490629,-0.451556965,-0.407371643
Otu000022,0.590805608,-0.075395207,0.2685526,-0.022163198,0.004731903,0.139242152,0.402695116,0.434079512,-0.222726028,-0.065831896,0.394578161,-0.109857955,-0.025461453,0.35021182,-0.028957861,-0.030484894,-0.135160029,-0.155965273,0.012797745,-0.120506695,0.273156253,0.295411958,-0.271627541,-0.463941144,-0.425175479,0.248630201,-0.274921055,-0.50449118,-0.354022717,-0.512925511,-0.505045827,-0.443962483,-0.446666535
Otu000048,0.564577903,-0.140835376,0.146530219,-0.160718632,-0.08890258,0.138751896,0.419539718,0.385567077,-0.205963643,-0.109080259,0.395143139,-0.220226387,-0.074628522,0.346810262,0.076355619,0.003222089,-0.090157626,-0.111366455,-0.073551582,-0.109399253,0.266200175,0.230673284,-0.284232784,-0.491830038,-0.408210878,0.317483303,-0.273351762,-0.517600659,-0.37551339,-0.514483885,-0.531384709,-0.482823331,-0.399259352
Otu000052,0.538301077,-0.211931079,0.174153707,-0.181285087,-0.148227575,0.072160932,0.451163581,0.394229875,-0.30495261,-0.12357339,0.350752267,-0.260872733,-0.11014909,0.381637738,0.075035099,-0.032894652,-0.045014646,-0.052878438,-0.038480296,-0.126253402,0.324926226,0.296543916,-0.246949964,-0.51842172,-0.350047216,0.307774142,-0.284557162,-0.449229921,-0.295957188,-0.454508592,-0.448977992,-0.440646291,-0.345529968
Otu000062,0.553352927,-0.111065296,0.20061187,-0.118565071,-0.049633964,0.170171697,0.382754644,0.299336088,-0.190957797,-0.110017323,0.399105105,-0.198991746,-0.043887087,0.338577812,0.056489468,0.024398514,-0.135973696,-0.125285195,-0.059429411,-0.037195609,0.201915161,0.17820113,-0.24252626,-0.460193613,-0.414038226,0.329561854,-0.309833239,-0.499425813,-0.38036242,-0.504583862,-0.493826231,-0.448375229,-0.421685411
Otu000065,0.550881556,-0.120126318,0.165520591,-0.106362486,-0.072443529,0.135755166,0.391358422,0.39560959,-0.169420621,-0.056853144,0.366261095,-0.151507376,-0.040711064,0.331528252,0.007777707,-0.003136173,-0.090916906,-0.111262784,-0.050736109,-0.127205843,0.267489297,0.235403968,-0.275162657,-0.452618441,-0.406099029,0.284905933,-0.247022329,-0.508620167,-0.384099096,-0.507941597,-0.528331654,-0.46423695,-0.398449196
Otu000070,0.549965329,-0.197593955,0.187374306,-0.184980206,-0.117847491,0.091510534,0.40833448,0.384285086,-0.289702422,-0.132815924,0.36115601,-0.254368693,-0.082325794,0.374656074,0.093709706,-0.021830282,-0.047272573,-0.072517466,-0.046164823,-0.128240129,0.331733557,0.316531585,-0.236323798,-0.543316101,-0.354036823,0.268786547,-0.266390706,-0.459476345,-0.300910989,-0.461241999,-0.460587129,-0.441056993,-0.357947878
Otu000073,0.499003132,-0.083976104,0.198125083,-0.069375026,-0.049780025,0.176831589,0.526263244,0.188813468,-0.253422449,-0.109380025,0.362231877,-0.334030249,-0.140552441,0.415549167,-0.094191099,0.006953121,-0.198474112,-0.175065161,0.024378987,-0.085881075,0.197469868,0.050422222,-0.226078941,-0.378299122,-0.365963573,0.489186036,-0.362359275,-0.510697801,-0.330048595,-0.462332023,-0.413395233,-0.431356095,-0.28412046
Otu000075,0.558375849,-0.193042538,0.195926565,-0.163754239,-0.108446276,0.102455505,0.402244932,0.391174998,-0.282975959,-0.125928862,0.347121015,-0.247411337,-0.07986082,0.370460553,0.103809204,-0.019943974,-0.059868841,-0.082995752,-0.05278216,-0.11747729,0.328552049,0.3158739,-0.233370094,-0.532275325,-0.354570084,0.261788523,-0.255741842,-0.466861948,-0.30837732,-0.46241699,-0.466753213,-0.445957238,-0.363890016
Otu000095,0.546153244,-0.119161248,0.158139107,-0.119022641,-0.08183723,0.118793376,0.384765895,0.404974343,-0.192107765,-0.07089232,0.375736519,-0.169392348,-0.067467487,0.331328748,0.001277175,-0.032384112,-0.074878152,-0.104344619,-0.032543348,-0.16096772,0.288237404,0.247003892,-0.247361425,-0.468091909,-0.383531999,0.284869894,-0.235471493,-0.497914038,-0.368320769,-0.493607978,-0.520388355,-0.448725691,-0.388394
Otu000096,0.518835419,-0.136821174,0.141334707,-0.127212862,-0.097379534,0.1371185,0.368224518,0.397713769,-0.143026801,-0.031434942,0.323946857,-0.166132594,-0.029730642,0.281496615,0.046763487,-0.000930016,-0.081347674,-0.095377559,-0.085928676,-0.108543987,0.276573601,0.228483162,-0.255485901,-0.428650003,-0.374486932,0.272543188,-0.215719354,-0.488941852,-0.370943075,-0.479870112,-0.515469848,-0.444912722,-0.361718039
Otu000099,0.524154426,-0.124021133,0.144080036,-0.135390485,-0.096604048,0.112474729,0.357724259,0.40793062,-0.16971629,-0.044446932,0.360640627,-0.172820732,-0.067398939,0.281878868,0.030995705,-0.024974004,-0.07614382,-0.102441573,-0.065628091,-0.142102219,0.280529979,0.222724787,-0.255308692,-0.453590533,-0.371630456,0.278322001,-0.226789775,-0.486660185,-0.370353375,-0.485839447,-0.506984236,-0.438239782,-0.364901858
Otu000100,0.504480475,-0.117843142,0.146182797,-0.112765669,-0.083347938,0.135850216,0.381391437,0.400250213,-0.139806948,-0.044798242,0.319648702,-0.140163942,-0.035391647,0.305940655,-0.017816311,0.008158591,-0.052678347,-0.07586637,-0.055023306,-0.124225592,0.247017759,0.216965307,-0.238421822,-0.42015493,-0.373795745,0.289582706,-0.210394865,-0.47548216,-0.356471309,-0.474721121,-0.510894821,-0.433561927,-0.356145977
Otu000101,0.535852853,-0.102094828,0.145785465,-0.121232741,-0.080347776,0.140622357,0.39110176,0.392422904,-0.163305609,-0.051833674,0.370744165,-0.146415272,-0.04267372,0.308659098,0.008587905,-0.010741296,-0.070780467,-0.094110218,-0.062851104,-0.136486091,0.259261022,0.208173786,-0.256390679,-0.435716982,-0.395307923,0.290645231,-0.23562469,-0.503370454,-0.386458179,-0.503128024,-0.534481034,-0.458668125,-0.389531262
Otu000107,0.530070331,-0.022445647,0.197352596,-0.076583314,-0.005110245,0.15151972,0.346036097,0.377379269,-0.159285585,-0.081968028,0.40582786,-0.094463499,-0.035077722,0.253717935,-0.02263661,0.009031016,-0.090568565,-0.115007344,-0.03970652,-0.116552136,0.195189401,0.179956739,-0.273652689,-0.402888764,-0.425283667,0.240747592,-0.27906105,-0.475149528,-0.365465907,-0.525443813,-0.491700814,-0.396038692,-0.402224546
Otu000113,0.506593534,0.123766824,0.101587614,0.039265806,0.126233127,0.170511694,0.396186876,0.234261695,-0.170530841,-0.107350531,0.431626222,-0.140827109,-0.071995438,0.32170712,-0.205622791,-0.004620444,-0.098109025,-0.121879019,0.147595805,-0.133351473,0.123332738,0.072003056,-0.243789761,-0.275548234,-0.453982548,0.367778085,-0.412547448,-0.397283055,-0.384657305,-0.526541853,-0.454209691,-0.417161931,-0.405801581
Otu000115,0.445264181,-0.134506739,0.232535683,-0.151918731,-0.130235213,0.162457227,0.530761347,0.127898767,-0.254971219,-0.040846747,0.283712595,-0.334528174,-0.155262805,0.383775873,-0.026875884,-0.023795296,-0.234936325,-0.195286196,0.022345307,-0.10172161,0.244651396,0.087847929,-0.243569205,-0.388931132,-0.291966452,0.464016075,-0.285438442,-0.504996471,-0.240762367,-0.359832756,-0.352484392,-0.355959823,-0.19513331
Otu000126,0.597255238,-0.14001967,0.241685672,-0.109770284,-0.049205981,0.131201694,0.427666399,0.405984502,-0.261661709,-0.102778062,0.382736462,-0.205290703,-0.05501648,0.365997322,0.075151162,-0.012368157,-0.11414739,-0.126507746,-0.046925067,-0.103092433,0.304903087,0.305019087,-0.255514535,-0.525387803,-0.405965394,0.283487122,-0.298923722,-0.511224694,-0.345868587,-0.502188174,-0.510501704,-0.48122601,-0.426894576
Otu000128,0.588042594,-0.134835305,0.243201582,-0.107462202,-0.048358108,0.118589294,0.423280018,0.41580099,-0.274693288,-0.107768752,0.385126671,-0.198648455,-0.064792374,0.37897914,0.055877676,-0.014311608,-0.104498793,-0.127768868,-0.029103279,-0.122378055,0.308260064,0.3200141,-0.266136418,-0.525322619,-0.400112095,0.27418959,-0.290740755,-0.497637868,-0.332740066,-0.49994965,-0.495059346,-0.468921185,-0.412403881
Otu000130,0.559054127,-0.184873934,0.219918813,-0.150035815,-0.093549429,0.084136001,0.415425885,0.426206012,-0.300870106,-0.126220649,0.354934686,-0.251139578,-0.098433748,0.381810657,0.079491217,-0.022961725,-0.067990302,-0.094684735,-0.033860891,-0.121300547,0.328357582,0.324270123,-0.240148157,-0.541093666,-0.362352791,0.277476247,-0.271520904,-0.466600835,-0.295214961,-0.467611067,-0.457845329,-0.447238396,-0.369199055
Otu000142,0.539286969,-0.078605529,0.231585593,-0.097148626,-0.034482384,0.147985329,0.397031948,0.325509147,-0.215782275,-0.10015562,0.417645327,-0.174120345,-0.044877197,0.324016825,0.017987064,0.019129933,-0.143119151,-0.139865284,-0.054113591,-0.065061202,0.197850168,0.191155119,-0.266708723,-0.457542652,-0.419945095,0.318502477,-0.322409177,-0.486333938,-0.358203824,-0.509190035,-0.47824366,-0.432841374,-0.408377407
Otu000146,0.533129323,-0.124809014,0.184790342,-0.13980403,-0.082050212,0.144261512,0.39128905,0.314288215,-0.221081109,-0.125613661,0.404648615,-0.213342231,-0.063886536,0.339720782,0.049374329,0.028214175,-0.119142496,-0.115860465,-0.072040597,-0.055365332,0.196503311,0.178433267,-0.267795174,-0.459197379,-0.409474745,0.320560623,-0.300318527,-0.486013601,-0.360241456,-0.504255168,-0.477430612,-0.437176992,-0.391699317
Otu000153,0.559086532,-0.169605652,0.202126972,-0.157674108,-0.113635127,0.107063715,0.408233384,0.351684528,-0.285106649,-0.13820457,0.397651051,-0.2320734,-0.080088089,0.394808467,0.060343698,-0.017852669,-0.075883329,-0.090477169,-0.041404877,-0.115641789,0.277872277,0.266781389,-0.254981434,-0.513581905,-0.383155653,0.281513561,-0.276922126,-0.477715215,-0.329015986,-0.488444074,-0.46890047,-0.440607041,-0.38345662
